,first150,fname,match
1549,"DECEMBER 12, 2000 -1- FINAL DECISION AND ORDER 00-104 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEWTOWN BOARD OF EDUCATION APPEARING ON ",00_104.pdf.txt,NEWTOWN
2631,"DECEMBER 8, 2000 -1- FINAL DECISION AND ORDER 00-270 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WALLINGFORD BOARD OF EDUCATION APPEARING ",00_270.pdf.txt,WALLINGFORD
2439,"DECEMBER 14, 2000 -1- FINAL DECISION AND ORDER 00-271 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. LEDYARD BOARD OF EDUCATION APPEARING ON ",00_271.pdf.txt,LEDYARD
2041,"DECEMBER 4, 2000 -1- FINAL DECISION AND ORDER 00-273 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. PLYMOUTH BOARD OF EDUCATION APPEARING OF ",00_273.pdf.txt,PLYMOUTH
950,"JANUARY 25, 2001 -1- FINAL DECISION AND ORDER 00-307 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. RIDGEFIELD BOARD OF EDUCATION APPEARING O",00_307.pdf.txt,RIDGEFIELD
2221,"JANUARY 18, 2001 -1- FINAL DECISION AND ORDER 00-310 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION HAMDEN BOARD OF EDUCATION V. (STUDENT) APPEARING OF ",00_310.pdf.txt,HAMDEN
1692,"JULY 25, 2001 -1- FINAL DECISION AND ORDER 01-008 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. DANBURY BOARD OF EDUCATION APPEARING ON BEHA",01_008.pdf.txt,DANBURY
1885,"APRIL 11, 2001 -1- FINAL DECISION AND ORDER 01-009 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON BEH",01_009.pdf.txt,NORWALK
1887,"MARCH 20, 2001 -1- FINAL DECISION AND ORDER 01-019 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. MANCHESTER BOARD OF EDUCATION APPEARING ON ",01_019.pdf.txt,MANCHESTER
669,"MAY 21, 2001 -1- FINAL DECISION AND ORDER 01-031 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEW MILFORD BOARD OF EDUCATION APPEARING ON B",01_031.pdf.txt,NEW MILFORD
2140,"MARCH 23, 2001 -1- FINAL DECISION AND ORDER 01-046 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. PLYMOUTH BOARD OF EDUCATION APPEARING ON BE",01_046.pdf.txt,PLYMOUTH
1335,"MARCH 21, 2001 -1- FINAL DECISION AND ORDER 01-049 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BE",01_049.pdf.txt,WESTPORT
833,"JUNE 27, 2001 -1- FINAL DECISION AND ORDER 01-058 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BEH",01_058.pdf.txt,WESTPORT
1535,"MAY 3, 2001 -1- FINAL DECISION AND ORDER 01-063 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WEST HARTFORD BOARD OF EDUCATION APPEARING ON ",01_063.pdf.txt,WEST HARTFORD
725,"APRIL 26, 2001 -1- FINAL DECISION AND ORDER 01-067 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. VERNON BOARD OF EDUCATION APPEARING ON BEHA",01_067.pdf.txt,VERNON
2737,"MAY 29, 2001 -1- FINAL DECISION AND ORDER 01-068 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NEWTOWN BOARD OF EDUCATION APPEARING ON BEHAL",01_068.pdf.txt,NEWTOWN
2040,"MAY 1, 2001 -1- FINAL DECISION AND ORDER 01-072 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON BEHALF",01_072.pdf.txt,NORWALK
406,"MAY 17, 2002 -1- FINAL DECISION AND ORDER 01-075 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. EASTON BOARD OF EDUCATION APPEARING ON BEHALF",01_075.pdf.txt,EASTON
729,"APRIL 9, 2001 -1- FINAL DECISION AND ORDER 01-077 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BRIDGEPORT BOARD OF EDUCATION APPEARING ON B",01_077.pdf.txt,BRIDGEPORT
2025,"MAY 14, 2001 -2- FINAL DECISION AND ORDER 01-086 BACKGROUND AND PROCEDURAL MATTERS: 1. THE PARENTS&#8482; ATTORNEY REQUESTED THIS EXPEDITED HEARING ON",01_086.pdf.txt,
492,"MAY 14, 2001 -1- FINAL DECISION AND ORDER 01-091 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON BEHAL",01_091.pdf.txt,NORWALK
1392,"MAY 18, 2001 -1- FINAL DECISION AND ORDER 01-092 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. TORRINGTON BOARD OF EDUCATION APPEARING ON BE",01_092.pdf.txt,TORRINGTON
2739,"AUGUST 15, 2001 -2- FINAL DECISION AND ORDER 01-100 ISSUES: 1. WHETHER THE BOARD OFFERED AN APPROPRIATE PROGRAM FOR THE 2000-2001 SCHOOL YEAR. 2. IF N",01_100.pdf.txt,
2629,"OCTOBER 26, 2001 -1- FINAL DECISION AND ORDER 01-109 STATE OF CONNECTIUCT DEPARTMENT OF EDUCATION STUDENT V. ROCKY HILL BOARD OF EDUCATION APPEARING O",01_109.pdf.txt,ROCKY HILL
2736,"JUNE 5, 2001 -1- FINAL DECISION AND ORDER 01-110 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. ENFIELD BOARD OF EDUCATION APPEARING ON BEHAL",01_110.pdf.txt,ENFIELD
1897,"MAY 14, 2001 -1- FINAL DECISION AND ORDER 01-113 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WEST HAVEN BOARD OF EDUCATION APPEARING ON BE",01_113.pdf.txt,WEST HAVEN
542,"JUNE 6, 2001 -1- FINAL DECISION AND ORDER 01-114 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. HARTFORD BOARD OF EDUCATION APPEARING ON BEHA",01_114.pdf.txt,HARTFORD
2438,"AUGUST 28, 2001 -1- FINAL DECISION AND ORDER 01-118 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. HARTFORD BOARD OF EDUCATION APPEARING OF B",01_118.pdf.txt,HARTFORD
1498,"JANUARY 16, 2002 -1- FINAL DECISION AND ORDER 01-156 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. DANBURY BOARD OF EDUCATION APPEARING ON B",01_156.pdf.txt,DANBURY
912,"SEPTEMBER 21, 2001 -1- FINAL DECISION AND ORDER 01-164 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION DANBURY BOARD OF EDUCATION V. STUDENT APPEARING ON",01_164.pdf.txt,DANBURY
1070,"JULY 13, 2001 -1- FINAL DECISION AND ORDER 01-165 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BEH",01_165.pdf.txt,WESTPORT
1025,"JULY 13, 2001 -1- FINAL DECISION AND ORDER 01-180 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. BLOOMFIELD BOARD OF EDUCATION APPEARING ON B",01_180.pdf.txt,BLOOMFIELD
1806,"AUGUST 7, 2001 -1- FINAL DECISION AND ORDER 01-185 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. FARMINGTON BOARD OF EDUCATION APPEARING ON ",01_185.pdf.txt,FARMINGTON
1030,"OCTOBER 23, 2001 -1- FINAL DECISION AND ORDER 01-190 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION [CONSOLIDATED CASES] [STUDENT] V. GRANBY BOARD OF ED",01_190.pdf.txt,GRANBY BOARD OF EDUCATION GRANBY
2133,"JULY 13, 2001 -1- FINAL DECISION AND ORDER 01-197 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NAUGATUCK BOARD OF EDUCATION APPEARING ON BE",01_197.pdf.txt,NAUGATUCK
1675,"JULY 23, 2001 -1- FINAL DECISION AND ORDER 01-216 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON BEH",01_216.pdf.txt,WESTPORT
1882,"DECEMBER 17, 2001 -1- FINAL DECISION AND ORDER 01-217 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WEST HAVEN BOARD OF EDUCATION APPEARING ",01_217.pdf.txt,WEST HAVEN
314,"JULY 30, 2001 -1- FINAL DECISION AND ORDER 01-245 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. GREENWICH BOARD OF EDUCATION APPEARING ON BE",01_245.pdf.txt,GREENWICH
1352,"OCTOBER 26, 2002 -1- FINAL DECISION AND ORDER 01-257 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WETHERSFIELD BOARD OF EDUCATION APPEARING",01_257.pdf.txt,WETHERSFIELD
2158,"MARCH 14, 2002 -1- FINAL DECISION AND ORDER 01-258 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWALK BOARD OF EDUCATION APPEARING ON BEH",01_258.pdf.txt,NORWALK
1902,"DECEMBER 10, 2001 -1- FINAL DECISION AND ORDER 01-265 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. PLAINVILLE BOARD OF EDUCATION APPEARING ",01_265.pdf.txt,PLAINVILLE
708,"OCTOBER 11, 2001 -1- FINAL DECISION AND ORDER 01-269 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WETHERSFIELD BOARD OF EDUCATION APPEARING",01_269.pdf.txt,WETHERSFIELD
935,"OCTOBER 17, 2001 -1- FINAL DECISION AND ORDER 01-270 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. WESTPORT BOARD OF EDUCATION APPEARING ON ",01_270.pdf.txt,WESTPORT
561,"NOVEMBER 15, 2001 -1- FINAL DECISION AND ORDER 01-272 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION [STUDENT] V. NEW BRITAIN BOARD OF EDUCATION APPEARI",01_272.pdf.txt,NEW BRITAIN
1900,"DECEMBER 20, 2001 -1- FINAL DECISION AND ORDER 01-275 STATE OF CONNECTICUT DEPARTMENT OF EDUCATION STUDENT V. NORWICH BOARD OF EDUCATION APPEARING ON ",01_275.pdf.txt,NORWICH
